code;product;quantity;cost
19530000Gr;*СНЯТ* Смеситель для ванны Grohe Chiara 19530000;1;106.84
19537002Gr;Grohe 19 537 002 Europlus Смеситель для душа (внешняя монтажная часть);1;157.2
19547MB0Gr;*СНЯТ*Верхняя панель 19.547 MBO ECTOS ванна (для 33.961);1;275.24
19547MF0Gr;*СНЯТ*Grohe 19 547 MF0 Ectos Смеситель для ванны (внешняя монтажная часть);1;0
19548001Gr;*СНЯТ*Grohe 19. 548 **001 ЕD Встр. см.ВАННА;1;137.94
19549000Gr;*СНЯТ*19.549 Верхняя панель ЕD (для 33.961);1;0
19549001Gr;*СНЯТ*Grohe 19. 549 **001 ЕD Встр. см.ДУШ;2;128.19
19549002Gr;Grohe 19 549 002 Eurodisc Cosmopolitan Смеситель для душа встраиваемый (внешняя монтажная часть);2;145.2
19549LS2Gr;Grohe 19 549 LS2 Eurodisc Cosmopolitan Смеситель для душа встраиваемый (внешняя монтажная часть);1;183.6
19567000Gr;Grohe 19 567 000 Grohtherm 3000 Cosmopolitan Термостат для 2х потреб. (внешняя монтажная часть);1;448.8
19568LS0Gr;Grohe 19 568 LS0 Grohtherm 3000 Cosmopolitan Термостат для 1 потреб. (внешняя монтажная часть);2;515.66
19571002Gr;Grohe 19 571 002 Eurostyle Cosmopolitan Смеситель для раковины 171 мм, на 2 отверстия, настенный;5;195.6
19578001Gr;Grohe 19 578 001 Essence Смеситель для ванны на 4 отверстия, Комплект;4;637.2
19590000Gr;Grohe 19 590 000 Allure Переключатель на 3 потребителя (внешняя монтажная часть);2;175.2
19651000Gr;*СНЯТ*19.651;1;0
19655000Gr;*СНЯТ*Grohe 19 655 000 Grohtherm 1000 Термостат центральный (внешняя монтажная часть);2;0
19656000Gr;*СНЯТ*19.656;1;35.38
19659IP0Gr;Grohe 19 659 IP0 Taron Термостат (внешняя монтажная часть);1;0
19674IP0Gr;*СНЯТ*Верхняя панель 19.674IP ECTOS ( для 34.967/34.971);1;172.53
19838000Gr;*СНЯТ*19.838 CH Накладная панель скрытой вентильной головки;1;59.25
19874000Gr;*СНЯТ*Grohe 19 874 000 Sentosa Накладная панель скрытой вентильной головки;1;20.24
19895000Gr;Grohe 19 895 000 Eurocube Смеситель для раковины 171 мм, на 2 отв., настен. (внеш. монт. часть);6;240.0
19896000Gr;Grohe 19 896 000 Eurocube Смеситель для ванны (внешняя монтажная часть);2;177.6
19898000Gr;Grohe 19 898 000 Eurocube Смеситель для душа (внешняя монтажная часть);3;163.2
19930000Gr;Grohe 19 930 000 Grandera Смеситель для раковины 234 мм, на 2 отв. настенный (внеш. монт. часть);1;418.8
19937000Gr;Grohe 19 937 000 Grandera Термостат для 2х потребителей (внешняя монтажная часть);3;429.6
19948000Gr;Grohe 19 948 000 Grandera Термостат для 2х потребителей (внешняя монтажная часть), Eco-Stop;1;429.6
19952000Gr;Grohe 19 952 000 Talentofill Наливной, сливной и переливной гарнитур, (внешняя монтажная часть);1;103.2
19953IP0Gr;*СНЯТ*Накладная панель 19.953 IP0 TARON TALENTOFIL;2;42.11
19958000Gr;Grohe 19 958 000 Grohtherm Cube Термостат для 2х потребителей (внешняя монтажная часть);5;295.2
19965001Gr;Grohe 19 965 001 Lineare Смеситель для ванны на 3 отверстия, набортный;1;632.4
19967001Gr;Grohe 19 967 001 Essence Смеситель для раковины 230 мм, настенный, на 2 отв. (внеш. монт. часть);5;199.2
19968LS0Gr;Grohe 19 968 LS0 Eurodisk Joy Смеситель для рак. 171 мм, на 2 отв., настен., (внеш. монт. часть);4;266.4
19969000Gr;Grohe 19 969 000 Eurodisk Joy Смеситель для рак. 226 мм, на 2 отв., настен., (внеш. монт.часть);3;216.0
19969LS0Gr;Grohe 19 969 LS0 Eurodisk Joy Смеситель для рак. 226 мм, на 2 отв, настен. (внеш. монт. часть);3;298.8
19976001Gr;Grohe 19 976 001 Essence Смеситель для ванны на 3 отверстия, Комплект;4;446.4
19981000Gr;Grohe 19 981 000 Grohtherm 1000 Накладная панель скрытой вентильной головки (внеш. монт. часть);2;38.4
19984000Gr;Grohe 19 984 000 Grohtherm 1000 Термостат для 1 потребителя (внешняя монтажная часть);4;196.8
19998000Gr;Grohe 19 998 000 Eurocube Joy Смеситель для раковины 230 мм, настенный (внешняя монтажная часть);2;250.8
20012000Gr;*СНЯТ*TALIA 20.012 умыв. на 3 отв.;1;247.65
20062000Gr;*СНЯТ*Grohe 20 062 000 Chiara Смеситель для раковины 94 мм, на 3 отв., керамика 180°, Комплект;1;306.63
20159000Gr;*СНЯТ*Grohe 20 159 000 Avina Вертикальный вентиль, маркировка синяя, керамика;1;61.28
20186001Gr;Grohe 20 186 001 Costa L Вертикальный вентиль 92 мм, резина;3;62.4
20187000Gr;Grohe 20 187 000 Eurosmart Cosmopolitan Смеситель для раковины 84 мм, на 3 отв., со сливн. гарн.;1;183.6
20201000Gr;Grohe 20 201 000 Универсальный вертикальный вентиль 98 мм, DN15;1;96.0
20208002Gr;Grohe 20 208 002 Eurostyle Cosmopolitan для раковины 78 мм, на 3 отверстия;3;229.2
20477000Gr;*СНЯТ*20.477 Costa кух.Верт.ВЕНТИЛЬ на 1-воду;2;38.59
21002000Gr;*СНЯТ*Grohe 21.002 SUPRA Тюльп.;1;119.14
21044000Gr;Grohe 21 044 000 Atrio Ypsilon Смеситель для свободностоящей раковины 324 мм, гладкий;1;600.0
21100001Gr;Grohe 21 100 001 Costa L Смеситель для раковины 79 мм, цепочка, резина;1;118.8
21105IG0Gr;*СНЯТ*Grohe 21.105. igo SE / Тюльпан;2;194.57
21107000Gr;Grohe 21 107 000 Grandera Смеситель для раковины 199 мм, со сливным гарнитуром, EcoJoy;3;384.0
21374001Gr;Grohe 21 374 001 Costa L Смеситель для раковины 144 мм, резина;1;72.0
21390001Gr;Grohe 21 390 001 Costa L Смеситель для раковины 78 мм, со сливным гарнитуром, резина;2;152.4
21391000Gr;*СНЯТ*Grohe 21 391 000 Costa Смеситель для раковины;1;88.15
22012000Gr;Grohe 22 012 000 Eurocube Угловой вентиль ½ — ⅜;1;42.0
2201600MGr;Grohe 22 016 00M Универсальный угловой вентиль ½ — ½ маркировка нейтральная;10;5.16
2201700MGr;Grohe 22 017 00M Универсальный угловой вентиль ½ — ⅜ маркировка нейтральная;10;5.4
22018000Gr;Grohe 22 018 000 Угловой вентиль с металлической розеткой, 1/2*3/8,1 шт.;10;5.28
22032000Gr;Grohe 22 032 000 Угловой вентиль ½ — ½;6;5.52
22037000Gr;Grohe 22 037 000 Угловой вентиль ½ — ⅜ маркировка нейтральная;10;6.84
22902LG0Gr;*СНЯТ*22.902 LGO Угл. КРАН - Цанга CH;2;0
22905000Gr;*СНЯТ*Grohe 22 905 000 Sentosa Вентиль ½ - ⅜;1;0
22909000Gr;*СНЯТ*Grohe 22 909 000 Grohtherm 3000 Вентиль ½ - ⅜;4;0
22917000Gr;Grohe 22 917 000 Atlanta Угловой вентиль ½ — ⅜ маркировка нейтральная;10;48.0
22940000Gr;Grohe 22 940 000 Угловой вентиль ½ — ½;10;11.16
2295100MGr;*СНЯТ*Grohe 22 951 00M Универсальный угловой вентиль ½ — ⅜ маркировка нейтральная;10;6.3
23037002Gr;Grohe 23 037 002 Eurostyle Cosmopolitan Смеситель для раковины 89 мм, с донным клапаном;1;115.2
23039002Gr;Grohe 23 039 002 Eurostyle Cosmopolitan Вертикальный вентиль 66 мм;2;84.0
23048003Gr;Grohe 23 048 003 Eurostyle Cosmopolitan Смеситель для ванны на бортик на 4 отв., Комплект;2;722.4
23049002Gr;Grohe 23 049 002 Eurodisc Cosmopolitan Смеситель для раковины 95 мм, со сливным гарнитуром;3;151.2
23054002Gr;Grohe 23 054 002 Eurodisc Cosmopolitan Смеситель для раковины 263 мм, со сливным гарнитуром;2;189.6
23055002Gr;Grohe 23 055 002 Eurodisc Cosmopolitan Смеситель для свободностоящих раковин со сливным гарн.;2;213.6
23058003Gr;Grohe 23 058 003 Euphoria Eurodisc Cosmopolitan Душевая сист. для душа 210х210/-- мм, 1/1 реж.;2;622.8
23106001Gr;Grohe 23 106 001 Lineare Смеситель для раковины 120 мм, Push-Open;6;200.4
23112000Gr;Grohe 23 112 000 Allure Brilliant Смеситель для раковины 201 мм, гладкий, EcoJoy;1;630.0
